Start date:,07/10/2024,Start time:,15:22:11.000
Reading #,Reading
1,-3.97900285E-02
2,-3.98243188E-02
3,-3.98195264E-02
4,-3.97989010E-02
5,-3.98390604E-02
6,-3.98020210E-02
7,-3.98285807E-02
8,-3.98195338E-02
9,-3.98049665E-02
10,-3.98001374E-02
11,-3.98153297E-02
12,-3.98094826E-02
13,-3.97948723E-02
14,-3.98129955E-02
15,-3.97990102E-02
16,-3.98085445E-02
17,-3.97837959E-02
18,-3.97995702E-02
19,-3.97857593E-02
20,-3.97817306E-02
21,-3.97760432E-02
22,-3.97892070E-02
23,-3.97729453E-02
24,-3.97825668E-02
25,-3.97718108E-02
26,-3.97742689E-02
27,-3.97769015E-02
28,-3.97763269E-02
29,-3.97794395E-02
30,-3.97723486E-02
31,-3.97658545E-02
32,-3.97773889E-02
33,-3.97993958E-02
34,-3.97633963E-02
35,-3.97649237E-02
36,-3.97672653E-02
37,-3.97512799E-02
38,-3.97599927E-02
39,-3.97370257E-02
40,-3.97476147E-02
41,-3.97599927E-02
42,-3.97516003E-02
43,-3.97445966E-02
44,-3.97351569E-02
45,-3.97121174E-02
46,-3.97388515E-02
47,-3.97369385E-02
48,-3.97373965E-02
49,-3.97348585E-02
50,-3.97221896E-02
51,-3.97189025E-02
52,-3.97280513E-02
53,-3.97167354E-02
54,-3.97158771E-02
55,-3.97286186E-02
56,-3.96962045E-02
57,-3.97243861E-02
58,-3.97228661E-02
59,-3.97176661E-02
60,-3.97036882E-02
61,-3.97120880E-02
62,-3.97957957E-02
63,-3.98100573E-02
64,-3.98101371E-02
65,-3.97971120E-02
66,-3.97988936E-02
67,-3.98011921E-02
68,-3.98196063E-02
69,-3.98151627E-02
70,-3.97843485E-02
71,-3.97950467E-02
72,-3.97991048E-02
73,-3.97931485E-02
74,-3.98020210E-02
75,-3.97949448E-02
76,-3.97921232E-02
77,-3.97998464E-02
78,-3.98026029E-02
79,-3.97984430E-02
80,-3.97994756E-02
81,-3.97905958E-02
82,-3.97927923E-02
83,-3.97825742E-02
84,-3.97840942E-02
85,-3.97832433E-02
86,-3.97767124E-02
87,-3.97966466E-02
88,-3.97878687E-02
89,-3.97963409E-02
90,-3.97837959E-02
91,-3.97921011E-02
92,-3.97758542E-02
93,-3.97912796E-02
94,-3.97767775E-02
95,-3.97598036E-02
96,-3.97583854E-02
97,-3.97568580E-02
98,-3.97682979E-02
99,-3.97619855E-02
100,-3.97694325E-02
101,-3.97658545E-02
102,-3.97818399E-02
103,-3.97921883E-02
104,-3.97712435E-02
105,-3.97701016E-02
106,-3.97840795E-02
107,-3.97685889E-02
108,-3.97819197E-02
109,-3.97748215E-02
110,-3.97564221E-02
111,-3.97770906E-02
112,-3.97812211E-02
113,-3.97649962E-02
114,-3.97541236E-02
115,-3.97718980E-02
116,-3.97619928E-02
117,-3.97556437E-02
118,-3.97665236E-02
119,-3.97437531E-02
120,-3.97500508E-02
121,-3.97781085E-02
122,-3.97488364E-02
123,-3.97453603E-02
124,-3.97434474E-02
125,-3.97099061E-02
126,-3.97317533E-02
127,-3.97356149E-02
