Start date:,07/10/2024,Start time:,14:39:15.080
Reading #,Reading
1,-4.65075981E-03
2,-4.65500696E-03
3,-4.65030914E-03
4,-4.64899286E-03
5,-4.64093451E-03
6,-4.63751620E-03
7,-4.64859998E-03
8,-4.64838149E-03
9,-4.65406152E-03
10,-4.64781422E-03
11,-4.63782189E-03
12,-4.64492744E-03
13,-4.64724695E-03
14,-4.64423622E-03
15,-4.64953808E-03
16,-4.64840354E-03
17,-4.64529827E-03
18,-4.63812758E-03
19,-4.64434547E-03
20,-4.64908741E-03
21,-4.63735652E-03
22,-4.64528357E-03
23,-4.64527622E-03
24,-4.64254912E-03
25,-4.63857825E-03
26,-4.64067293E-03
27,-4.63953105E-03
28,-4.63432374E-03
29,-4.64549471E-03
30,-4.63623669E-03
31,-4.64179277E-03
32,-4.64414903E-03
33,-4.62811320E-03
34,-4.63743636E-03
35,-4.62942212E-03
36,-4.63056401E-03
37,-4.63697834E-03
38,-4.63782924E-03
39,-4.62478943E-03
40,-4.63140020E-03
41,-4.63338564E-03
42,-4.62591661E-03
43,-4.63215656E-03
44,-4.62649859E-03
45,-4.62988749E-03
46,-4.62401102E-03
47,-4.61913881E-03
48,-4.62262961E-03
49,-4.62686941E-03
50,-4.61403339E-03
51,-4.61932054E-03
52,-4.62430935E-03
53,-4.61787297E-03
54,-4.62139317E-03
55,-4.61410588E-03
56,-4.61847699E-03
57,-4.62563298E-03
58,-4.61079682E-03
59,-4.62391647E-03
60,-4.61693487E-03
61,-4.61848434E-03
62,-4.61060038E-03
63,-4.61183681E-03
64,-4.61561860E-03
65,-4.61421513E-03
66,-4.61212780E-03
67,-4.61505868E-03
68,-4.60918221E-03
69,-4.60825146E-03
70,-4.61805470E-03
71,-4.61421513E-03
72,-4.61147334E-03
73,-4.61551670E-03
74,-4.59878229E-03
75,-4.61022955E-03
76,-4.62025864E-03
77,-4.60382257E-03
78,-4.60136441E-03
79,-4.61110251E-03
80,-4.60238970E-03
81,-4.60750246E-03
82,-4.61278961E-03
83,-4.60646247E-03
84,-4.60448438E-03
85,-4.60155350E-03
86,-4.60097153E-03
87,-4.60968434E-03
88,-4.59974244E-03
89,-4.60145895E-03
90,-4.59806270E-03
91,-4.59227342E-03
92,-4.60040426E-03
93,-4.59738618E-03
94,-4.59777906E-03
95,-4.60465877E-03
96,-4.59670966E-03
97,-4.59814254E-03
98,-4.60174259E-03
99,-4.59541545E-03
100,-4.59097920E-03
101,-4.59541545E-03
102,-4.59569173E-03
103,-4.59577892E-03
104,-4.59409182E-03
105,-4.59089200E-03
106,-4.59474628E-03
107,-4.58095011E-03
108,-4.58689907E-03
109,-4.59427356E-03
110,-4.60184448E-03
111,-4.59606991E-03
112,-4.58993185E-03
113,-4.59230282E-03
114,-4.59295728E-03
115,-4.58725520E-03
116,-4.59239737E-03
117,-4.59239002E-03
118,-4.58388100E-03
119,-4.57999731E-03
120,-4.58067383E-03
121,-4.57585205E-03
122,-4.58076102E-03
123,-4.58641165E-03
124,-4.58604817E-03
125,-4.58152473E-03
126,-4.57954664E-03
127,-4.58217184E-03
128,-4.57340124E-03
129,-4.57867369E-03
130,-4.57489925E-03
131,-4.58435372E-03
132,-4.57839740E-03
133,-4.57736477E-03
134,-4.58097217E-03
135,-4.57822302E-03
136,-4.58038284E-03
137,-4.58614272E-03
138,-4.58322653E-03
139,-4.57499380E-03
140,-4.57943004E-03
141,-4.58161928E-03
142,-4.58302274E-03
143,-4.58756824E-03
144,-4.58159722E-03
145,-4.57510305E-03
146,-4.58105201E-03
147,-4.57772089E-03
148,-4.57142315E-03
149,-4.58011391E-03
150,-4.58292085E-03
151,-4.57660106E-03
152,-4.58143019E-03
153,-4.57659370E-03
154,-4.58293555E-03
155,-4.58031771E-03
156,-4.57668090E-03
157,-4.57292117E-03
158,-4.56508131E-03
159,-4.57340859E-03
160,-4.57517553E-03
161,-4.57130655E-03
162,-4.57027392E-03
163,-4.57340859E-03
164,-4.55705237E-03
165,-4.56100119E-03
166,-4.57076134E-03
167,-4.56092870E-03
168,-4.56528510E-03
169,-4.56112514E-03
170,-4.56357595E-03
171,-4.56036143E-03
172,-4.56509601E-03
173,-4.56166300E-03
174,-4.57668090E-03
175,-4.56413586E-03
176,-4.58073897E-03
177,-4.56810674E-03
178,-4.57641932E-03
179,-4.58302274E-03
180,-4.57207026E-03
181,-4.57283397E-03
182,-4.57188853E-03
183,-4.57180869E-03
184,-4.56449934E-03
185,-4.56999028E-03
186,-4.54956128E-03
187,-4.56631039E-03
188,-4.56978649E-03
189,-4.56358330E-03
