Start date:,07/10/2024,Start time:,17:51:08.100
Reading #,Reading
1,-8.18757591E-04
2,-8.16677608E-04
3,-8.19143121E-04
4,-8.18590557E-04
5,-8.16612471E-04
6,-8.19513948E-04
7,-8.18663046E-04
8,-8.17085194E-04
9,-8.19222962E-04
10,-8.17244876E-04
11,-8.16299429E-04
12,-8.17754359E-04
13,-8.16147099E-04
14,-8.16684960E-04
15,-8.18299571E-04
16,-8.17165035E-04
17,-8.18008585E-04
18,-8.18466605E-04
19,-8.15958010E-04
20,-8.19310155E-04
21,-8.19063280E-04
22,-8.16707015E-04
23,-8.18030641E-04
24,-8.17259580E-04
25,-8.16684960E-04
26,-8.19979320E-04
27,-8.15950658E-04
28,-8.17630407E-04
29,-8.19506596E-04
30,-8.18386764E-04
31,-8.19892127E-04
32,-8.18844784E-04
33,-8.16306781E-04
34,-8.20016079E-04
35,-8.19252370E-04
36,-8.16896105E-04
37,-8.18132537E-04
38,-8.16008444E-04
39,-8.16684960E-04
40,-8.19245018E-04
41,-8.17433965E-04
42,-8.17535862E-04
43,-8.18764943E-04
44,-8.16975946E-04
45,-8.18394116E-04
46,-8.17070490E-04
47,-8.15856113E-04
48,-8.18568502E-04
49,-8.18292219E-04
50,-8.17070490E-04
51,-8.17543214E-04
52,-8.17623055E-04
53,-8.16241644E-04
54,-8.19245018E-04
55,-8.16975946E-04
56,-8.16132396E-04
57,-8.17565269E-04
58,-8.16386622E-04
59,-8.18575853E-04
60,-8.17993882E-04
61,-8.15935954E-04
62,-8.18575853E-04
63,-8.17841552E-04
64,-8.18015937E-04
65,-8.18299571E-04
66,-8.16786856E-04
67,-8.16503222E-04
68,-8.19506596E-04
69,-8.16699664E-04
70,-8.17354125E-04
71,-8.18757591E-04
72,-8.15834058E-04
73,-8.17928744E-04
74,-8.17812144E-04
75,-8.14343399E-04
76,-8.17914041E-04
77,-8.16968594E-04
78,-8.15935954E-04
79,-8.18095778E-04
80,-8.16968594E-04
81,-8.16590415E-04
82,-8.18095778E-04
83,-8.15834058E-04
84,-8.16605119E-04
85,-8.17361476E-04
86,-8.17077842E-04
87,-8.16401326E-04
88,-8.15667024E-04
89,-8.14714226E-04
90,-8.18416171E-04
91,-8.17339421E-04
92,-8.16874049E-04
93,-8.18481309E-04
94,-8.18030641E-04
95,-8.17826848E-04
96,-8.19615845E-04
97,-8.16684960E-04
98,-8.16779505E-04
99,-8.16212237E-04
100,-8.16699664E-04
101,-8.17914041E-04
102,-8.16226940E-04
103,-8.15572479E-04
104,-8.17906689E-04
105,-8.15572479E-04
106,-8.16125044E-04
107,-8.18379412E-04
108,-8.15746865E-04
109,-8.16968594E-04
110,-8.18859487E-04
111,-8.15935954E-04
112,-8.17826848E-04
113,-8.16692312E-04
114,-8.14619681E-04
115,-8.18677750E-04
116,-8.17266932E-04
117,-8.15179597E-04
118,-8.18103130E-04
119,-8.16794208E-04
120,-8.17565269E-04
121,-8.18008585E-04
122,-8.14903315E-04
123,-8.17266932E-04
124,-8.17834200E-04
125,-8.14037709E-04
126,-8.16707015E-04
127,-8.17266932E-04
128,-8.14990508E-04
129,-8.16503222E-04
130,-8.15172245E-04
131,-8.13739371E-04
132,-8.17717600E-04
133,-8.15652320E-04
134,-8.16619823E-04
135,-8.16590415E-04
136,-8.15274142E-04
137,-8.17085194E-04
138,-8.18205027E-04
139,-8.14997860E-04
140,-8.16888753E-04
141,-8.15739513E-04
142,-8.14895963E-04
143,-8.17928744E-04
144,-8.16314133E-04
145,-8.14146958E-04
146,-8.16030499E-04
147,-8.16692312E-04
148,-8.17172387E-04
149,-8.15841410E-04
150,-8.14888611E-04
151,-8.17274284E-04
152,-8.17346773E-04
153,-8.14124902E-04
154,-8.17535862E-04
155,-8.15928603E-04
156,-8.15186949E-04
157,-8.17157683E-04
158,-8.16117692E-04
159,-8.15164893E-04
160,-8.16874049E-04
161,-8.16045203E-04
162,-8.16597767E-04
163,-8.17165035E-04
164,-8.14517784E-04
165,-8.16597767E-04
166,-8.16503222E-04
167,-8.15448527E-04
168,-8.15470583E-04
169,-8.14336047E-04
170,-8.13848620E-04
171,-8.17426614E-04
172,-8.14313991E-04
173,-8.14895963E-04
174,-8.17259580E-04
175,-8.15157542E-04
176,-8.16023147E-04
177,-8.16990650E-04
178,-8.14045061E-04
179,-8.17244876E-04
180,-8.16699664E-04
181,-8.13666882E-04
182,-8.14873908E-04
183,-8.17645110E-04
184,-8.13943165E-04
185,-8.16990650E-04
186,-8.14794067E-04
187,-8.15157542E-04
188,-8.16139747E-04
189,-8.16779505E-04
190,-8.16212237E-04
191,-8.17543214E-04
192,-8.14161661E-04
193,-8.16983298E-04
194,-8.17055787E-04
195,-8.13594393E-04
196,-8.16597767E-04
197,-8.15746865E-04
198,-8.14321343E-04
199,-8.16670256E-04
200,-8.16612471E-04
201,-8.15746865E-04
202,-8.16794208E-04
203,-8.16583063E-04
204,-8.16117692E-04
205,-8.18277516E-04
206,-8.14612329E-04
207,-8.17535862E-04
208,-8.16801560E-04
209,-8.15179597E-04
210,-8.15179597E-04
211,-8.14794067E-04
212,-8.14619681E-04
213,-8.18786998E-04
214,-8.14888611E-04
215,-8.14045061E-04
216,-8.16896105E-04
217,-8.16779505E-04
218,-8.15834058E-04
219,-8.16866697E-04
220,-8.14241502E-04
221,-8.16590415E-04
222,-8.16590415E-04
223,-8.15107108E-04
224,-8.16707015E-04
225,-8.15754217E-04
226,-8.13659530E-04
227,-8.17819496E-04
228,-8.14321343E-04
229,-8.14706874E-04
230,-8.16866697E-04
231,-8.16488519E-04
232,-8.15761569E-04
233,-8.16481167E-04
234,-8.14895963E-04
235,-8.17448669E-04
236,-8.16132396E-04
237,-8.14336047E-04
238,-8.16023147E-04
239,-8.15186949E-04
240,-8.15296197E-04
241,-8.16488519E-04
242,-8.16481167E-04
243,-8.15739513E-04
244,-8.17172387E-04
245,-8.15644969E-04
246,-8.16299429E-04
247,-8.16052555E-04
248,-8.14525136E-04
249,-8.17368828E-04
250,-8.17637759E-04
251,-8.14132254E-04
252,-8.15107108E-04
253,-8.15274142E-04
254,-8.14918019E-04
255,-8.17535862E-04
256,-8.14612329E-04
257,-8.14248854E-04
258,-8.16794208E-04
259,-8.15746865E-04
260,-8.14918019E-04
261,-8.16597767E-04
262,-8.13935813E-04
263,-8.17179739E-04
264,-8.16503222E-04
265,-8.14510433E-04
266,-8.15644969E-04
267,-8.16045203E-04
268,-8.14241502E-04
269,-8.16619823E-04
270,-8.15470583E-04
271,-8.16328837E-04
272,-8.17376180E-04
273,-8.14895963E-04
274,-8.17252228E-04
275,-8.15834058E-04
276,-8.13674234E-04
277,-8.16794208E-04
278,-8.17142980E-04
279,-8.15194301E-04
280,-8.16023147E-04
281,-8.15834058E-04
282,-8.16416030E-04
283,-8.17354125E-04
284,-8.14692170E-04
285,-8.14226799E-04
286,-8.16197533E-04
287,-8.15179597E-04
288,-8.16692312E-04
289,-8.16008444E-04
290,-8.14510433E-04
291,-8.15368686E-04
292,-8.14590274E-04
293,-8.15754217E-04
294,-8.15470583E-04
295,-8.15296197E-04
296,-8.14328695E-04
297,-8.17426614E-04
298,-8.13579689E-04
299,-8.14903315E-04
300,-8.16219588E-04
301,-8.15746865E-04
302,-8.15550424E-04
303,-8.14903315E-04
304,-8.13841268E-04
305,-8.16503222E-04
306,-8.15674376E-04
307,-8.13477793E-04
308,-8.16299429E-04
309,-8.15928603E-04
310,-8.15557776E-04
311,-8.16605119E-04
312,-8.14423240E-04
313,-8.14910667E-04
314,-8.16408678E-04
315,-8.16292078E-04
316,-8.17187091E-04
317,-8.16125044E-04
318,-8.14779363E-04
319,-8.15470583E-04
320,-8.16292078E-04
321,-8.12903173E-04
322,-8.16204885E-04
323,-8.16204885E-04
324,-8.16707015E-04
325,-8.16321485E-04
326,-8.14328695E-04
327,-8.15353983E-04
328,-8.15746865E-04
329,-8.15077701E-04
330,-8.15746865E-04
331,-8.15950658E-04
332,-8.13754075E-04
333,-8.16597767E-04
334,-8.15477935E-04
335,-8.15005211E-04
336,-8.15950658E-04
337,-8.16008444E-04
338,-8.15114460E-04
339,-8.18597909E-04
340,-8.14721577E-04
341,-8.16045203E-04
342,-8.17085194E-04
343,-8.14234150E-04
344,-8.15455879E-04
345,-8.14350751E-04
346,-8.13194159E-04
347,-8.16132396E-04
348,-8.15368686E-04
349,-8.14918019E-04
350,-8.16219588E-04
351,-8.14415888E-04
352,-8.14910667E-04
353,-8.16321485E-04
354,-8.14699522E-04
355,-8.15870817E-04
356,-8.15674376E-04
357,-8.13848620E-04
358,-8.17055787E-04
359,-8.16147099E-04
360,-8.13564986E-04
361,-8.17557918E-04
362,-8.15819354E-04
363,-8.14895963E-04
364,-8.15928603E-04
365,-8.13572338E-04
366,-8.16881401E-04
367,-8.17521158E-04
368,-8.14873908E-04
369,-8.15266790E-04
370,-8.15754217E-04
371,-8.14517784E-04
372,-8.16605119E-04
373,-8.16968594E-04
374,-8.13587041E-04
375,-8.15266790E-04
376,-8.16953890E-04
377,-8.15383390E-04
378,-8.16495871E-04
379,-8.14226799E-04
380,-8.15463231E-04
381,-8.16583063E-04
382,-8.15288845E-04
383,-8.15579831E-04
384,-8.16692312E-04
385,-8.13855972E-04
386,-8.16314133E-04
387,-8.15470583E-04
388,-8.12554402E-04
389,-8.16306781E-04
390,-8.15667024E-04
391,-8.13870675E-04
392,-8.15114460E-04
393,-8.14343399E-04
394,-8.13477793E-04
395,-8.16226940E-04
396,-8.14692170E-04
397,-8.15572479E-04
398,-8.15652320E-04
399,-8.12815980E-04
400,-8.16023147E-04
401,-8.14415888E-04
402,-8.13397952E-04
403,-8.16023147E-04
404,-8.14437943E-04
405,-8.15092404E-04
406,-8.14801418E-04
407,-8.13965220E-04
408,-8.16764801E-04
409,-8.16874049E-04
410,-8.13201511E-04
411,-8.16212237E-04
412,-8.15376038E-04
413,-8.15288845E-04
414,-8.15470583E-04
415,-8.15361335E-04
416,-8.13870675E-04
417,-8.15841410E-04
418,-8.13696290E-04
419,-8.14037709E-04
420,-8.16510574E-04
421,-8.15463231E-04
422,-8.16393974E-04
423,-8.16023147E-04
424,-8.13310759E-04
425,-8.14503081E-04
426,-8.15448527E-04
427,-8.14968452E-04
428,-8.16968594E-04
429,-8.12743491E-04
430,-8.13557634E-04
431,-8.15637617E-04
432,-8.15732161E-04
433,-8.15201653E-04
434,-8.16990650E-04
435,-8.14918019E-04
436,-8.16023147E-04
437,-8.16015795E-04
438,-8.13928461E-04
439,-8.16212237E-04
440,-8.15477935E-04
441,-8.14597625E-04
442,-8.16393974E-04
443,-8.14525136E-04
444,-8.12997718E-04
445,-8.16306781E-04
446,-8.15841410E-04
447,-8.16393974E-04
448,-8.17906689E-04
449,-8.12357961E-04
450,-8.17354125E-04
451,-8.17637759E-04
452,-8.14343399E-04
453,-8.16197533E-04
454,-8.17724951E-04
455,-8.14226799E-04
456,-8.16699664E-04
457,-8.16117692E-04
458,-8.16117692E-04
459,-8.16961242E-04
460,-8.14997860E-04
461,-8.15572479E-04
462,-8.16612471E-04
463,-8.14030357E-04
464,-8.18110482E-04
465,-8.16401326E-04
466,-8.15441176E-04
467,-8.16212237E-04
468,-8.15259438E-04
469,-8.13935813E-04
470,-8.17092546E-04
471,-8.15565128E-04
472,-8.14248854E-04
473,-8.17070490E-04
474,-8.15172245E-04
475,-8.15288845E-04
476,-8.18125186E-04
477,-8.15092404E-04
478,-8.15841410E-04
479,-8.15572479E-04
480,-8.14154309E-04
481,-8.14975804E-04
482,-8.14604977E-04
483,-8.15099756E-04
484,-8.16248996E-04
485,-8.13950516E-04
486,-8.13965220E-04
487,-8.16030499E-04
488,-8.14968452E-04
489,-8.14321343E-04
490,-8.16896105E-04
491,-8.13855972E-04
492,-8.15368686E-04
493,-8.16881401E-04
494,-8.13463089E-04
495,-8.15856113E-04
496,-8.14816122E-04
497,-8.14975804E-04
498,-8.15943306E-04
499,-8.14408536E-04
500,-8.14684818E-04
501,-8.17252228E-04
502,-8.15179597E-04
503,-8.16030499E-04
504,-8.16314133E-04
505,-8.13761427E-04
506,-8.17645110E-04
507,-8.16386622E-04
508,-8.15179597E-04
509,-8.15856113E-04
510,-8.16321485E-04
511,-8.15209004E-04
512,-8.16605119E-04
513,-8.14510433E-04
514,-8.13848620E-04
515,-8.16786856E-04
516,-8.14816122E-04
517,-8.15834058E-04
518,-8.16110340E-04
519,-8.13397952E-04
520,-8.17077842E-04
521,-8.16692312E-04
522,-8.14714226E-04
523,-8.15085052E-04
524,-8.14234150E-04
525,-8.16401326E-04
526,-8.17928744E-04
527,-8.15099756E-04
528,-8.15535720E-04
529,-8.17346773E-04
530,-8.14692170E-04
531,-8.16503222E-04
532,-8.16684960E-04
533,-8.13957868E-04
534,-8.16037851E-04
535,-8.16699664E-04
536,-8.14816122E-04
537,-8.18015937E-04
538,-8.15841410E-04
539,-8.16219588E-04
540,-8.17456021E-04
541,-8.15281494E-04
542,-8.14219447E-04
543,-8.16510574E-04
544,-8.14808770E-04
545,-8.16023147E-04
546,-8.15841410E-04
547,-8.13965220E-04
548,-8.15557776E-04
549,-8.14408536E-04
550,-8.14139606E-04
551,-8.15921251E-04
552,-8.16132396E-04
553,-8.16212237E-04
554,-8.17433965E-04
555,-8.14415888E-04
556,-8.15099756E-04
557,-8.16597767E-04
558,-8.15572479E-04
559,-8.14881259E-04
560,-8.15194301E-04
561,-8.12706732E-04
562,-8.17259580E-04
563,-8.16023147E-04
564,-8.15848762E-04
565,-8.18394116E-04
566,-8.15470583E-04
567,-8.15572479E-04
568,-8.16779505E-04
569,-8.14525136E-04
570,-8.14895963E-04
571,-8.15667024E-04
572,-8.14990508E-04
573,-8.16241644E-04
574,-8.14721577E-04
575,-8.14517784E-04
576,-8.18023289E-04
577,-8.15754217E-04
578,-8.14059765E-04
579,-8.17266932E-04
580,-8.14619681E-04
581,-8.17092546E-04
582,-8.17063139E-04
583,-8.14052413E-04
584,-8.15346631E-04
585,-8.17463373E-04
586,-8.13878027E-04
587,-8.15950658E-04
588,-8.16488519E-04
589,-8.13557634E-04
590,-8.15746865E-04
591,-8.15179597E-04
592,-8.13965220E-04
593,-8.16779505E-04
594,-8.14132254E-04
595,-8.16328837E-04
596,-8.15935954E-04
597,-8.13368545E-04
598,-8.15077701E-04
599,-8.16612471E-04
600,-8.14510433E-04
601,-8.17921393E-04
602,-8.15390742E-04
603,-8.14241502E-04
604,-8.16408678E-04
605,-8.15943306E-04
606,-8.16983298E-04
607,-8.17550566E-04
608,-8.15441176E-04
609,-8.17361476E-04
610,-8.17732303E-04
611,-8.16117692E-04
612,-8.16764801E-04
613,-8.15652320E-04
614,-8.14903315E-04
615,-8.16677608E-04
616,-8.17048435E-04
617,-8.14684818E-04
618,-8.16612471E-04
619,-8.15477935E-04
620,-8.15172245E-04
621,-8.18866839E-04
622,-8.14794067E-04
623,-8.17259580E-04
624,-8.16968594E-04
625,-8.15856113E-04
626,-8.17085194E-04
627,-8.16779505E-04
628,-8.16314133E-04
629,-8.16866697E-04
630,-8.15746865E-04
631,-8.12925229E-04
632,-8.17244876E-04
633,-8.16859346E-04
634,-8.15164893E-04
635,-8.16408678E-04
636,-8.15266790E-04
637,-8.15455879E-04
638,-8.17543214E-04
639,-8.14037709E-04
640,-8.16110340E-04
641,-8.15550424E-04
642,-8.14313991E-04
643,-8.17456021E-04
644,-8.15448527E-04
645,-8.15172245E-04
646,-8.16692312E-04
647,-8.15819354E-04
648,-8.16707015E-04
649,-8.15659672E-04
650,-8.14067117E-04
651,-8.17448669E-04
652,-8.16023147E-04
653,-8.14248854E-04
654,-8.16393974E-04
655,-8.16030499E-04
656,-8.16241644E-04
657,-8.18306923E-04
658,-8.14990508E-04
659,-8.15834058E-04
660,-8.17906689E-04
661,-8.16234292E-04
662,-8.17361476E-04
663,-8.16510574E-04
664,-8.15470583E-04
665,-8.18015937E-04
666,-8.18670398E-04
667,-8.16473815E-04
668,-8.17448669E-04
669,-8.16983298E-04
670,-8.14430592E-04
671,-8.16503222E-04
672,-8.16132396E-04
673,-8.16794208E-04
674,-8.19033873E-04
675,-8.17077842E-04
676,-8.17048435E-04
677,-8.18394116E-04
678,-8.13485145E-04
679,-8.18394116E-04
680,-8.18277516E-04
681,-8.14517784E-04
682,-8.19026521E-04
683,-8.16684960E-04
684,-8.16139747E-04
685,-8.15652320E-04
686,-8.16495871E-04
687,-8.15441176E-04
688,-8.17645110E-04
689,-8.16968594E-04
690,-8.15921251E-04
691,-8.17244876E-04
692,-8.16015795E-04
693,-8.18110482E-04
694,-8.17702896E-04
695,-8.14910667E-04
696,-8.16961242E-04
697,-8.15644969E-04
698,-8.14124902E-04
699,-8.16517926E-04
700,-8.14067117E-04
701,-8.14983156E-04
702,-8.17528510E-04
703,-8.14881259E-04
704,-8.15288845E-04
705,-8.16699664E-04
706,-8.14139606E-04
707,-8.16575712E-04
708,-8.15739513E-04
709,-8.14052413E-04
710,-8.15935954E-04
711,-8.14030357E-04
712,-8.15259438E-04
713,-8.16707015E-04
714,-8.16204885E-04
715,-8.15448527E-04
716,-8.17070490E-04
717,-8.16495871E-04
718,-8.16590415E-04
719,-8.17645110E-04
720,-8.14910667E-04
721,-8.16408678E-04
722,-8.16692312E-04
723,-8.14437943E-04
724,-8.17630407E-04
725,-8.16139747E-04
726,-8.15557776E-04
727,-8.17630407E-04
728,-8.16030499E-04
729,-8.13754075E-04
730,-8.16052555E-04
731,-8.14248854E-04
732,-8.16219588E-04
733,-8.17463373E-04
734,-8.12939932E-04
735,-8.16393974E-04
736,-8.15070349E-04
737,-8.14313991E-04
738,-8.16110340E-04
739,-8.15099756E-04
740,-8.14423240E-04
741,-8.17165035E-04
742,-8.14045061E-04
743,-8.14619681E-04
744,-8.17914041E-04
745,-8.16234292E-04
746,-8.14437943E-04
747,-8.16605119E-04
748,-8.14415888E-04
749,-8.16495871E-04
750,-8.16015795E-04
751,-8.15274142E-04
752,-8.16314133E-04
753,-8.14816122E-04
754,-8.14525136E-04
755,-8.15565128E-04
756,-8.14634385E-04
757,-8.14808770E-04
758,-8.16037851E-04
759,-8.15077701E-04
760,-8.14983156E-04
761,-8.17172387E-04
762,-8.14525136E-04
763,-8.18037993E-04
764,-8.14801418E-04
765,-8.14786715E-04
766,-8.14604977E-04
767,-8.14714226E-04
768,-8.13274000E-04
769,-8.18205027E-04
770,-8.14525136E-04
771,-8.14336047E-04
772,-8.16888753E-04
773,-8.15565128E-04
774,-8.16037851E-04
775,-8.16102988E-04
776,-8.13855972E-04
777,-8.16219588E-04
778,-8.16692312E-04
779,-8.15754217E-04
780,-8.17354125E-04
781,-8.14990508E-04
782,-8.16510574E-04
783,-8.18306923E-04
784,-8.15644969E-04
785,-8.15099756E-04
786,-8.16983298E-04
787,-8.13390600E-04
788,-8.16052555E-04
789,-8.15848762E-04
790,-8.14350751E-04
791,-8.17521158E-04
792,-8.16416030E-04
793,-8.14794067E-04
794,-8.16597767E-04
795,-8.15550424E-04
796,-8.15674376E-04
797,-8.15470583E-04
798,-8.15463231E-04
799,-8.14248854E-04
800,-8.14816122E-04
801,-8.16416030E-04
802,-8.14517784E-04
803,-8.14779363E-04
804,-8.13099614E-04
805,-8.16488519E-04
806,-8.16125044E-04
807,-8.15565128E-04
808,-8.16226940E-04
809,-8.14423240E-04
810,-8.15644969E-04
811,-8.16306781E-04
812,-8.14612329E-04
813,-8.15376038E-04
814,-8.15579831E-04
815,-8.14786715E-04
816,-8.16147099E-04
817,-8.15179597E-04
818,-8.14619681E-04
819,-8.16393974E-04
820,-8.14975804E-04
821,-8.14328695E-04
822,-8.15659672E-04
823,-8.13499849E-04
824,-8.15935954E-04
825,-8.16888753E-04
826,-8.14241502E-04
827,-8.13950516E-04
828,-8.15826706E-04
829,-8.15557776E-04
830,-8.16968594E-04
831,-8.15194301E-04
832,-8.15186949E-04
833,-8.15928603E-04
834,-8.15557776E-04
835,-8.14627033E-04
836,-8.16510574E-04
837,-8.13492497E-04
838,-8.15943306E-04
839,-8.16234292E-04
840,-8.13572338E-04
841,-8.14495729E-04
842,-8.15841410E-04
843,-8.15390742E-04
844,-8.16495871E-04
845,-8.15266790E-04
846,-8.13274000E-04
847,-8.15739513E-04
848,-8.16503222E-04
849,-8.15266790E-04
850,-8.16314133E-04
851,-8.12903173E-04
852,-8.15557776E-04
853,-8.16495871E-04
854,-8.15841410E-04
855,-8.15477935E-04
856,-8.15746865E-04
857,-8.14219447E-04
858,-8.17055787E-04
859,-8.14532488E-04
860,-8.15172245E-04
861,-8.17652462E-04
862,-8.16125044E-04
863,-8.14597625E-04
864,-8.17063139E-04
865,-8.14816122E-04
866,-8.14990508E-04
867,-8.16583063E-04
868,-8.14801418E-04
869,-8.14525136E-04
870,-8.15732161E-04
871,-8.15179597E-04
872,-8.17070490E-04
873,-8.15085052E-04
874,-8.14139606E-04
875,-8.16605119E-04
876,-8.16401326E-04
877,-8.15201653E-04
878,-8.16910809E-04
879,-8.14510433E-04
880,-8.14699522E-04
881,-8.16139747E-04
882,-8.13296055E-04
883,-8.15746865E-04
884,-8.15644969E-04
885,-8.14336047E-04
886,-8.16503222E-04
887,-8.15463231E-04
888,-8.13688938E-04
889,-8.17085194E-04
890,-8.15630265E-04
891,-8.15376038E-04
892,-8.16132396E-04
893,-8.13477793E-04
894,-8.16794208E-04
895,-8.17456021E-04
896,-8.14816122E-04
897,-8.14881259E-04
898,-8.16110340E-04
899,-8.13965220E-04
900,-8.16416030E-04
901,-8.14423240E-04
902,-8.14052413E-04
903,-8.16408678E-04
904,-8.15266790E-04
905,-8.14612329E-04
906,-8.16677608E-04
907,-8.13863324E-04
908,-8.16953890E-04
909,-8.17346773E-04
910,-8.15470583E-04
911,-8.15565128E-04
912,-8.16684960E-04
913,-8.14423240E-04
914,-8.16961242E-04
915,-8.14263558E-04
916,-8.14714226E-04
917,-8.17834200E-04
918,-8.16684960E-04
919,-8.16677608E-04
920,-8.17142980E-04
921,-8.15470583E-04
922,-8.15856113E-04
923,-8.15557776E-04
924,-8.14888611E-04
925,-8.16510574E-04
926,-8.13776131E-04
927,-8.14823474E-04
928,-8.18568502E-04
929,-8.15644969E-04
930,-8.13754075E-04
931,-8.15194301E-04
932,-8.14968452E-04
933,-8.15368686E-04
934,-8.17165035E-04
935,-8.14590274E-04
936,-8.16786856E-04
937,-8.16953890E-04
938,-8.13383248E-04
939,-8.17441317E-04
940,-8.16234292E-04
941,-8.14306640E-04
942,-8.17448669E-04
943,-8.14328695E-04
944,-8.14823474E-04
945,-8.16597767E-04
946,-8.14990508E-04
947,-8.16953890E-04
948,-8.15644969E-04
949,-8.12801277E-04
950,-8.17354125E-04
951,-8.14495729E-04
952,-8.16037851E-04
953,-8.17259580E-04
954,-8.15848762E-04
955,-8.15935954E-04
956,-8.16983298E-04
957,-8.14030357E-04
958,-8.13754075E-04
959,-8.17055787E-04
960,-8.12997718E-04
961,-8.16321485E-04
962,-8.15557776E-04
963,-8.13848620E-04
964,-8.16314133E-04
965,-8.15659672E-04
966,-8.14997860E-04
967,-8.16968594E-04
968,-8.14350751E-04
969,-8.14975804E-04
970,-8.17070490E-04
971,-8.13863324E-04
972,-8.15565128E-04
973,-8.13754075E-04
974,-8.15463231E-04
975,-8.16764801E-04
976,-8.15644969E-04
977,-8.14154309E-04
978,-8.16874049E-04
979,-8.15834058E-04
980,-8.16023147E-04
981,-8.16495871E-04
982,-8.15274142E-04
983,-8.15092404E-04
984,-8.15376038E-04
985,-8.14030357E-04
986,-8.14146958E-04
987,-8.14619681E-04
988,-8.13492497E-04
989,-8.15092404E-04
990,-8.14313991E-04
991,-8.14234150E-04
992,-8.15943306E-04
993,-8.15732161E-04
994,-8.15172245E-04
995,-8.15935954E-04
996,-8.13027125E-04
997,-8.15848762E-04
998,-8.16503222E-04
999,-8.14030357E-04
1000,-8.14226799E-04
1001,-8.14612329E-04
1002,-8.14045061E-04
1003,-8.16015795E-04
1004,-8.13878027E-04
1005,-8.13121670E-04
1006,-8.16401326E-04
1007,-8.15259438E-04
1008,-8.14525136E-04
1009,-8.14975804E-04
1010,-8.14306640E-04
1011,-8.17244876E-04
1012,-8.16495871E-04
1013,-8.14234150E-04
1014,-8.15201653E-04
1015,-8.14510433E-04
1016,-8.13564986E-04
1017,-8.15179597E-04
1018,-8.13885379E-04
1019,-8.14408536E-04
1020,-8.15477935E-04
1021,-8.15565128E-04
1022,-8.15346631E-04
1023,-8.17179739E-04
1024,-8.14510433E-04
1025,-8.16481167E-04
1026,-8.16495871E-04
1027,-8.15179597E-04
1028,-8.15179597E-04
1029,-8.14604977E-04
1030,-8.15455879E-04
1031,-8.14910667E-04
1032,-8.15077701E-04
1033,-8.14888611E-04
1034,-8.15935954E-04
1035,-8.16684960E-04
1036,-8.14423240E-04
1037,-8.17063139E-04
1038,-8.14590274E-04
1039,-8.16764801E-04
1040,-8.16030499E-04
1041,-8.15092404E-04
1042,-8.16204885E-04
1043,-8.16030499E-04
1044,-8.14336047E-04
1045,-8.17433965E-04
1046,-8.14604977E-04
1047,-8.13863324E-04
1048,-8.16125044E-04
1049,-8.15361335E-04
1050,-8.14721577E-04
1051,-8.17172387E-04
1052,-8.14794067E-04
1053,-8.16030499E-04
1054,-8.16510574E-04
1055,-8.13957868E-04
1056,-8.15077701E-04
1057,-8.18575853E-04
1058,-8.14219447E-04
1059,-8.15644969E-04
1060,-8.13848620E-04
1061,-8.15005211E-04
1062,-8.15288845E-04
1063,-8.15674376E-04
1064,-8.15186949E-04
1065,-8.16677608E-04
1066,-8.14808770E-04
1067,-8.17063139E-04
1068,-8.14627033E-04
1069,-8.13194159E-04
1070,-8.15841410E-04
1071,-8.16023147E-04
1072,-8.13870675E-04
1073,-8.16808912E-04
1074,-8.13194159E-04
1075,-8.14983156E-04
1076,-8.17244876E-04
1077,-8.14132254E-04
1078,-8.15376038E-04
